student_id,study_hours,attendance,previous_grade,parental_support,extracurricular,sleep_hours,assignments_completed,age,gender,performance,final_grade
47,4.8,48.9,76.8,4,0,6.7,90.5,17,Female,Low,63.0
48,8.6,79.7,73.1,4,0,6.7,58.7,16,Female,Medium,60.1
49,6.9,96.8,76.9,5,2,5.2,100.0,17,Female,High,92.0
50,1.6,77.2,76.5,1,5,6.0,98.9,16,Female,Low,63.2
51,6.8,90.9,43.4,4,2,6.4,89.3,17,Female,Medium,56.0
52,5.0,85.3,79.6,3,2,7.2,59.0,17,Male,Medium,65.7
53,4.3,85.1,59.9,2,5,6.2,97.1,18,Male,Medium,66.7
54,7.5,75.9,53.6,3,2,5.7,71.0,15,Female,Medium,57.7
55,8.6,61.8,53.4,3,2,8.1,76.5,16,Male,Low,55.8
56,8.3,63.2,76.5,2,2,7.6,49.7,15,Female,Low,72.0
57,3.9,90.6,66.7,3,1,6.2,57.7,15,Female,Low,53.8
58,5.2,80.3,44.8,3,2,7.8,87.9,19,Female,Low,54.0
59,6.8,77.9,77.2,3,2,6.3,98.1,19,Male,High,68.1
60,8.4,73.6,48.4,3,1,7.1,92.3,18,Male,Low,56.9
61,4.8,75.4,72.1,2,1,8.5,91.7,17,Male,Low,64.8
62,5.5,95.7,73.6,1,2,6.1,78.8,18,Female,Low,70.4
63,3.2,75.0,83.3,5,2,5.2,72.7,15,Male,Low,62.2
64,3.0,59.9,96.7,5,0,6.8,85.2,15,Female,Medium,65.0
65,8.0,91.2,49.5,3,1,5.0,94.8,16,Female,High,62.3
66,9.4,76.9,69.2,5,4,6.6,80.1,18,Male,High,73.8
67,5.8,80.5,65.9,4,2,6.6,100.0,17,Female,Medium,64.4
68,8.5,100.0,76.5,2,0,4.0,76.1,17,Female,Medium,70.0
69,6.9,79.7,73.2,2,3,7.8,62.4,16,Female,High,81.6
70,4.4,84.3,64.7,5,0,6.7,79.8,17,Female,Medium,60.3
71,6.9,62.3,63.4,4,3,8.8,81.9,18,Female,Medium,52.1
72,9.8,76.7,53.3,4,3,7.3,78.5,16,Male,High,64.6
73,5.9,89.1,84.8,5,3,8.1,100.0,17,Female,High,81.2
74,9.9,56.7,76.9,3,3,8.8,94.5,16,Female,High,68.7
75,0.0,83.0,83.8,1,0,6.8,54.2,18,Male,Low,58.8
76,8.1,81.5,65.3,2,3,7.0,100.0,17,Male,High,69.3
77,6.2,80.6,60.1,2,1,4.6,30.7,16,Female,Low,56.5
78,5.3,95.6,53.8,2,2,8.9,100.0,17,Male,Low,61.8
79,6.2,85.0,75.4,3,4,6.8,74.8,15,Female,High,71.0
80,1.0,100.0,54.4,2,2,5.5,76.6,18,Male,Low,52.1
81,5.5,65.1,97.7,2,5,8.1,78.9,19,Male,High,69.5
82,6.9,82.0,50.4,3,0,4.0,86.9,17,Male,Low,49.0
83,9.7,81.3,74.1,3,2,6.4,80.0,16,Female,High,71.2
84,4.7,64.0,93.5,3,0,8.4,77.6,17,Male,Medium,67.0
85,4.0,94.3,79.0,3,3,6.3,100.0,17,Male,Medium,70.8
86,4.7,100.0,72.6,4,0,5.9,90.2,16,Male,Medium,64.8
87,8.3,79.7,55.5,5,1,6.4,62.7,15,Female,Medium,60.3
88,6.8,87.6,49.3,2,1,4.0,93.3,18,Male,Low,58.2
89,4.7,81.3,81.6,2,3,8.1,89.4,18,Male,Low,66.1
90,7.3,69.3,92.6,5,1,6.8,70.2,18,Male,High,73.1
91,6.2,52.7,63.4,3,3,6.6,94.3,17,Male,Low,52.5
92,8.4,69.4,52.9,4,1,6.6,77.2,18,Male,Medium,65.5
93,4.2,59.1,33.1,3,0,7.0,76.0,17,Male,Low,42.5
94,5.2,100.0,55.3,4,2,8.0,75.5,16,Male,Medium,68.3
95,5.0,78.3,68.3,5,5,6.9,36.3,18,Female,High,72.2
96,2.3,74.8,94.0,4,1,5.0,70.5,19,Female,Low,66.9
97,6.7,93.3,80.1,2,1,7.9,92.8,18,Male,Low,72.7
98,6.7,63.2,74.6,5,3,7.7,79.6,18,Female,High,80.5
99,6.0,68.5,64.0,4,2,7.3,56.9,18,Male,Medium,52.5
100,5.4,81.0,61.3,4,3,8.6,97.4,17,Male,High,68.0
101,2.5,95.4,91.1,1,1,7.0,74.6,18,Male,Low,63.3
102,4.9,87.5,73.0,4,2,8.7,58.0,17,Female,Medium,66.5
103,5.1,83.7,38.5,2,1,9.1,100.0,16,Female,Low,44.6
104,4.0,81.2,59.9,3,2,7.9,61.0,18,Female,Low,50.3
105,5.6,86.0,57.1,4,3,5.9,95.8,19,Male,Medium,66.6
106,7.0,83.0,61.8,3,3,6.8,66.2,16,Female,Medium,58.3
107,10.7,64.6,78.4,4,2,8.9,82.4,18,Female,High,75.7
108,6.4,80.7,68.4,4,4,4.8,63.8,16,Male,Medium,60.4
109,6.6,63.9,68.8,2,1,6.4,57.7,19,Male,Low,64.1
110,5.8,81.2,89.7,4,1,6.5,89.4,17,Male,High,74.4
111,1.2,72.8,59.6,5,3,5.7,87.3,17,Male,Medium,66.2
112,5.9,100.0,98.0,2,3,8.3,100.0,18,Male,High,80.3
113,6.2,79.4,59.9,4,0,7.6,79.4,18,Male,Low,57.2
114,12.0,58.9,71.3,3,3,5.9,100.0,18,Male,High,72.9
115,5.5,78.0,65.8,3,2,7.9,84.8,19,Male,Medium,73.0
116,6.8,87.8,71.9,3,3,6.8,90.2,15,Female,High,68.3
117,5.9,100.0,76.7,3,3,5.7,55.5,15,Female,High,61.8
118,3.1,71.2,76.5,1,2,5.9,68.9,18,Male,Low,53.4
119,8.9,56.3,58.7,5,0,7.7,89.4,19,Female,Medium,57.9
120,7.9,92.3,53.2,4,3,8.4,78.5,16,Male,High,68.3
121,8.0,59.3,100.0,3,3,6.3,83.4,15,Female,High,77.6
122,3.7,73.5,62.7,3,1,7.8,65.3,16,Female,Low,57.3
123,9.5,76.1,80.5,3,2,9.4,82.2,16,Female,High,75.8
124,2.5,79.0,45.9,3,5,5.1,82.1,18,Male,Low,52.7
125,7.5,90.3,65.8,3,1,7.5,58.8,15,Male,Medium,65.8
126,11.5,69.7,68.1,3,1,8.2,91.6,16,Male,High,75.4
127,3.5,75.9,77.1,3,1,6.9,49.4,18,Male,Low,63.8
128,4.6,79.8,29.2,2,2,8.9,83.3,16,Male,Low,43.7
129,6.2,82.2,72.5,4,4,10.3,100.0,18,Male,High,77.7
130,4.7,81.5,52.8,4,3,7.5,92.2,16,Female,Medium,58.5
131,2.1,86.5,74.9,2,2,6.6,92.1,17,Female,Low,55.7
132,6.2,92.7,54.5,1,3,8.5,63.8,15,Male,Low,55.9
133,3.3,85.9,57.2,3,3,8.3,100.0,16,Male,Low,64.5
134,7.2,86.8,65.9,5,2,4.0,100.0,17,Female,High,66.1
135,3.7,56.3,54.2,4,1,7.0,64.8,18,Female,Low,51.8
136,9.9,80.8,62.9,4,3,6.4,71.5,17,Female,High,69.7
137,4.0,87.2,52.1,5,2,7.6,100.0,15,Male,Medium,56.3
138,5.2,90.9,42.5,3,0,6.7,100.0,18,Male,Low,50.7
139,8.0,69.6,85.3,5,2,6.9,57.2,15,Female,High,83.0
140,2.9,70.1,50.6,3,5,5.7,61.9,19,Female,Low,54.9
141,6.6,71.4,67.3,3,2,8.1,77.4,16,Female,Low,57.9
142,9.3,88.0,81.3,4,5,9.5,40.9,17,Female,High,86.1
143,2.0,95.5,60.8,3,0,5.7,80.3,15,Female,Low,63.4
144,6.5,73.9,57.6,4,3,4.9,100.0,17,Female,High,67.0
145,6.6,93.6,73.4,3,1,7.0,54.1,17,Female,Medium,72.8
146,8.0,81.9,86.8,4,1,7.0,82.3,17,Male,High,80.3
147,2.9,78.1,52.5,3,2,8.8,69.5,15,Male,Low,48.5
148,2.7,76.8,67.7,2,2,5.2,100.0,18,Female,Low,56.8
149,7.3,91.2,44.0,5,3,6.2,69.7,18,Female,Medium,62.4
150,6.7,84.9,64.1,5,3,4.0,100.0,17,Female,High,63.7
151,6.6,100.0,70.5,5,2,9.1,69.2,17,Female,High,59.9
152,6.9,67.2,57.2,4,4,7.4,93.9,17,Female,Medium,58.6
153,4.3,87.8,63.1,4,2,6.3,84.5,15,Male,High,57.1
154,6.6,72.1,48.9,4,1,5.0,77.5,19,Female,Medium,53.2
155,6.7,67.0,71.2,2,1,5.2,65.8,16,Female,Low,53.6
156,4.2,79.8,85.8,2,2,7.6,85.8,17,Female,Low,71.4
157,10.7,82.1,53.5,3,3,5.3,72.1,17,Female,High,59.5
158,7.2,100.0,60.7,5,0,7.2,67.6,17,Male,Medium,68.0
159,3.0,77.2,77.5,2,1,10.1,100.0,18,Male,Medium,70.7
160,7.6,63.0,88.2,5,1,6.5,89.9,16,Male,High,78.9
161,3.6,84.1,47.6,3,2,5.6,91.6,18,Male,Low,41.3
162,8.0,48.9,67.5,4,1,7.6,73.0,17,Male,Low,66.8
163,8.9,78.6,74.2,2,1,5.2,76.7,15,Male,Medium,69.2
164,3.9,80.2,68.5,3,2,9.6,75.5,17,Male,Medium,68.6
165,8.4,91.9,32.8,5,3,9.1,86.1,18,Female,High,71.3
166,7.0,94.6,77.5,3,2,6.8,91.6,16,Male,Medium,74.2
167,8.1,72.4,92.8,3,2,5.7,79.5,17,Male,Medium,68.8
168,10.7,77.7,71.7,2,0,6.4,65.7,17,Male,High,72.3
169,5.4,68.5,54.5,2,4,6.6,93.7,17,Male,Medium,53.3
170,4.1,63.1,62.3,3,2,7.6,80.6,18,Male,Low,55.7
171,3.8,84.6,96.5,4,5,8.6,54.1,16,Male,High,79.7
172,4.0,60.9,83.6,3,5,5.4,41.6,17,Female,Low,64.4
173,5.8,73.8,79.6,4,3,8.5,85.4,17,Female,Medium,62.6
174,6.9,65.1,75.3,2,0,7.9,65.1,16,Female,Low,52.0
175,6.7,88.2,60.1,4,2,6.2,87.8,19,Female,High,63.3
176,8.1,100.0,67.0,4,0,5.4,66.0,15,Female,Medium,66.1
177,6.0,60.5,68.8,1,4,7.2,82.4,15,Male,Low,58.5
178,9.6,52.2,78.2,3,3,5.4,73.2,18,Female,High,80.2
179,5.3,78.1,92.6,2,5,8.5,100.0,16,Male,High,77.3
180,12.0,80.2,86.8,4,3,5.3,97.1,18,Female,High,86.6
181,7.6,83.3,48.7,4,2,7.8,100.0,18,Female,Medium,56.4
182,3.9,73.3,73.4,5,2,6.9,80.4,16,Female,Medium,61.9
183,3.3,77.0,81.1,3,2,6.2,94.8,16,Female,Medium,67.8
184,7.2,85.5,79.3,3,2,6.8,81.6,15,Female,High,81.1
185,5.4,95.6,60.6,2,3,8.6,100.0,16,Female,Medium,63.7
186,7.8,50.7,100.0,3,4,5.2,78.7,16,Male,High,83.1
187,7.2,74.5,50.8,3,2,6.4,54.8,18,Female,Low,59.4
188,5.8,83.2,53.8,2,4,5.9,44.0,18,Female,Low,60.3
189,3.9,66.2,73.5,4,4,6.9,100.0,15,Female,Medium,69.5
190,2.2,100.0,100.0,3,2,6.0,88.6,18,Female,High,74.5
191,4.9,70.5,57.5,4,2,4.3,89.8,15,Male,Low,56.0
192,8.1,79.4,66.0,3,3,5.4,100.0,17,Male,High,66.3
193,6.5,88.3,86.2,5,2,9.5,50.3,16,Female,High,81.6
194,2.9,71.1,69.7,5,0,7.4,73.5,15,Female,Low,55.4
195,6.4,52.3,65.0,5,2,7.3,75.8,18,Male,Medium,59.3
196,7.0,73.6,78.5,4,5,6.6,93.4,17,Female,High,77.1
197,3.8,95.4,74.1,4,0,6.9,67.5,17,Female,Low,59.7
198,6.4,74.9,85.5,4,3,6.4,58.4,17,Female,Medium,67.5
199,6.1,67.3,89.4,2,3,7.8,58.2,15,Male,Medium,69.5
200,3.1,93.9,74.6,4,3,7.2,100.0,18,Male,Medium,67.5
201,6.9,75.0,74.4,4,2,5.2,66.6,18,Male,Medium,56.3
202,7.4,72.3,73.2,5,3,7.4,70.1,15,Male,High,69.2
203,8.7,82.2,77.3,3,2,4.0,91.4,16,Female,High,76.5
204,8.6,91.6,70.8,3,0,7.6,67.4,17,Male,Medium,68.5
205,2.6,100.0,70.0,4,5,4.9,49.3,17,Female,Medium,67.6
206,3.7,92.4,87.9,5,2,6.9,51.5,17,Male,High,68.3
207,7.3,97.4,92.7,2,3,5.2,79.0,17,Male,High,74.5
208,7.3,72.4,47.4,3,2,7.0,89.0,19,Female,Low,53.4
209,7.3,64.6,70.2,3,0,7.9,76.4,16,Female,Low,64.0
210,12.0,80.9,59.7,2,5,9.3,87.7,17,Male,High,82.2
211,7.4,81.6,65.3,1,3,4.7,51.0,17,Male,Low,63.5
212,8.8,63.8,76.0,3,1,8.5,52.2,17,Female,Medium,65.8
213,8.4,77.4,80.0,5,5,7.2,100.0,16,Male,High,78.1
214,7.6,86.0,68.3,1,3,6.3,100.0,17,Male,Medium,72.4
215,5.2,85.4,41.3,3,2,8.1,93.8,17,Male,Low,52.6
216,7.9,87.6,55.5,4,3,6.6,68.1,17,Male,Medium,56.1
217,4.1,84.4,83.4,5,1,8.1,75.7,16,Female,Medium,68.5
218,5.4,72.4,28.9,5,2,5.5,80.0,17,Female,Low,57.1
219,4.8,72.3,87.8,3,0,6.1,100.0,18,Male,Low,63.0
220,6.2,62.0,77.8,5,2,8.4,87.3,18,Male,High,69.1
221,11.8,100.0,89.7,1,2,9.2,89.5,18,Female,High,78.6
222,1.3,80.2,67.0,4,4,6.9,77.0,17,Female,Low,64.2
223,7.7,76.6,39.1,4,3,4.0,94.3,16,Male,Medium,59.9
224,2.0,66.1,76.5,3,1,6.7,85.4,17,Female,Low,64.8
225,4.8,100.0,89.1,3,4,7.0,80.8,15,Male,High,85.3
226,8.7,63.9,83.9,2,2,6.7,66.6,18,Male,Medium,63.3
227,6.2,73.6,60.1,5,3,7.5,78.0,16,Female,High,64.1
228,3.3,86.2,71.3,3,1,6.3,60.6,18,Female,Low,56.5
229,4.2,89.0,62.0,4,4,8.3,79.3,18,Male,High,66.8
230,7.7,94.4,57.7,2,4,5.2,81.6,18,Male,High,70.2
231,4.2,100.0,84.3,3,3,8.9,36.7,18,Male,High,70.5
232,6.5,87.6,52.0,5,4,9.3,75.9,17,Male,High,62.2
233,6.1,64.2,56.6,4,2,5.6,58.8,17,Female,Medium,67.3
234,4.4,76.1,53.4,5,4,5.6,89.0,16,Female,Medium,64.6
235,11.4,84.6,47.6,3,2,7.6,91.5,16,Female,High,68.4
236,7.6,100.0,72.2,2,1,5.2,72.3,15,Female,Medium,54.9
237,0.9,59.0,87.4,3,3,6.3,89.9,16,Male,Low,71.8
238,6.5,98.0,67.2,3,3,8.7,90.6,19,Male,High,68.7
239,4.3,82.7,47.4,2,1,8.1,75.9,16,Female,Low,49.2
240,8.1,92.6,82.6,4,0,10.0,100.0,18,Male,High,70.6
241,4.0,78.5,95.3,3,1,7.3,66.9,16,Male,Medium,71.8
242,5.7,67.4,60.3,2,2,6.1,100.0,19,Female,Low,51.6
243,7.3,91.3,62.8,3,1,7.1,75.9,16,Male,Medium,51.2
244,8.2,89.8,77.7,4,1,6.8,64.8,17,Male,High,68.9
245,3.0,94.6,94.3,4,2,6.8,73.7,17,Male,High,68.0
246,5.2,79.8,62.2,3,5,7.0,60.2,18,Female,Medium,63.2
247,4.8,71.0,50.0,3,3,5.6,94.1,16,Male,Low,46.9
248,4.4,56.6,79.5,2,2,7.4,51.2,18,Female,Low,66.1
249,10.4,92.3,82.0,5,5,4.9,100.0,17,Female,High,80.9
250,7.0,86.4,70.1,5,3,5.9,63.2,16,Male,High,74.3
251,2.8,65.5,61.6,4,2,6.8,95.1,15,Female,Low,59.2
252,8.3,71.9,84.9,1,2,4.0,80.4,18,Female,Medium,62.7
253,11.3,73.0,77.9,3,2,8.2,84.9,16,Male,High,73.9
254,8.6,57.8,58.5,4,1,4.0,69.4,18,Female,Medium,56.6
255,2.2,67.7,70.7,5,2,8.0,86.4,15,Male,Medium,69.2
256,4.8,63.0,49.7,5,2,5.1,82.4,17,Female,Low,63.6
257,9.2,73.8,80.3,5,2,6.4,53.8,17,Female,High,85.3
258,4.2,68.9,66.1,2,3,7.8,62.7,17,Male,Low,51.2
259,7.1,55.6,63.5,5,2,10.3,70.3,16,Female,Medium,66.4
260,7.9,100.0,69.5,4,3,7.2,66.4,18,Male,High,79.5
261,3.7,98.8,70.6,4,2,4.0,100.0,18,Male,Medium,69.8
262,5.9,68.3,83.4,3,5,8.4,80.1,17,Female,Medium,74.8
263,0.0,84.1,78.9,3,2,6.7,66.0,17,Male,Low,60.4
264,3.4,86.3,67.7,3,4,7.1,71.2,17,Male,Medium,64.7
265,5.4,97.9,81.5,2,3,7.8,70.9,19,Female,Medium,68.9
266,2.9,67.7,76.0,3,3,4.0,74.8,18,Female,Low,54.7
267,10.1,96.4,63.6,5,3,7.0,60.6,16,Male,High,75.1
268,2.4,71.8,68.1,1,0,6.4,65.3,16,Male,Low,45.5
269,4.9,60.0,67.8,2,5,8.8,93.8,19,Male,Medium,62.6
270,6.3,90.9,77.6,2,1,8.1,83.3,16,Male,Low,65.8
271,9.6,99.4,64.5,3,2,4.6,77.3,19,Male,High,66.1
272,2.4,100.0,64.1,5,2,8.9,80.0,17,Male,Medium,65.3
273,8.9,62.0,99.5,2,2,7.7,79.2,15,Female,Medium,77.6
274,6.0,90.5,84.1,2,3,4.7,76.2,16,Male,Medium,67.3
275,3.5,73.9,58.6,5,4,7.1,89.3,17,Male,Medium,66.7
276,7.2,91.8,78.6,5,2,8.6,88.0,18,Female,High,82.3
277,6.5,57.9,71.8,1,5,5.2,51.7,16,Male,Low,64.4
278,4.5,61.1,75.9,4,2,9.1,77.6,16,Female,Medium,63.6
279,6.2,68.4,72.1,4,1,4.7,52.9,19,Female,Low,65.6
280,5.0,81.2,87.8,4,1,5.8,91.4,15,Male,Medium,72.4
281,6.3,70.4,75.2,3,3,5.6,93.8,17,Male,Low,66.1
282,7.7,89.9,69.1,5,0,9.1,69.0,17,Male,High,76.7
283,10.0,95.4,85.6,1,2,6.3,77.9,15,Female,High,80.2
284,2.9,89.0,73.5,3,1,5.3,42.0,15,Female,Low,70.7
285,11.3,100.0,71.8,3,2,7.7,97.5,16,Female,High,76.5
286,1.1,86.2,74.7,3,3,8.0,92.8,15,Male,Medium,63.3
287,5.6,61.7,68.6,5,2,8.0,100.0,17,Female,Medium,72.7
288,7.5,100.0,70.1,4,1,6.6,100.0,17,Female,High,66.3
289,6.7,70.9,61.2,1,1,7.4,58.0,17,Male,Low,62.5
290,4.4,93.7,58.7,3,2,6.0,96.0,17,Female,Low,61.1
291,5.5,100.0,55.0,3,0,9.5,100.0,16,Female,Medium,61.8
292,4.8,86.9,49.1,5,2,8.7,53.1,15,Female,Medium,64.4
293,4.5,57.6,56.8,4,3,8.6,76.9,16,Female,Medium,63.6
294,8.1,66.2,67.4,4,0,8.2,73.5,17,Male,Low,55.7
295,6.9,99.8,71.5,4,2,7.8,95.4,19,Female,High,73.3
296,4.3,77.5,65.9,4,2,5.1,36.9,16,Female,Low,61.0
297,8.2,81.2,34.7,4,2,7.9,100.0,17,Male,Medium,54.9
298,6.8,91.4,93.6,3,2,7.2,78.0,18,Female,High,83.9
299,8.0,90.4,86.3,5,2,8.9,96.5,18,Male,High,83.4
300,7.6,84.2,76.7,4,2,8.2,78.9,19,Male,High,66.5
301,3.9,76.9,98.6,4,3,7.8,88.9,16,Female,High,74.0
302,4.6,75.3,55.3,5,1,4.5,38.2,15,Female,Low,56.1
303,7.9,92.9,98.3,4,3,6.9,73.1,16,Female,High,74.1
304,7.5,88.3,55.5,4,2,6.2,95.3,15,Male,High,59.3
305,5.9,76.1,73.6,5,2,7.4,85.2,17,Female,Medium,66.4
306,6.3,96.2,50.9,2,3,6.4,50.5,18,Female,Low,58.1
307,9.2,78.1,70.2,3,2,6.6,81.1,17,Male,Medium,65.8
308,4.5,67.2,75.8,4,2,7.7,65.3,15,Female,Low,67.2
309,7.4,68.6,67.7,3,3,6.4,63.7,15,Male,Medium,63.2
310,5.5,65.3,80.7,4,3,7.2,52.6,19,Male,Medium,67.9
311,5.5,75.9,71.5,4,5,4.7,91.1,17,Male,Medium,65.1
312,8.7,98.5,62.2,4,3,5.8,100.0,19,Female,High,78.0
313,8.1,67.9,61.5,5,4,8.0,100.0,18,Male,High,65.1
314,8.0,82.8,82.2,3,0,5.2,53.5,19,Female,High,72.6
315,9.3,70.1,60.2,4,2,8.9,93.8,18,Female,High,71.9
316,6.1,76.1,83.7,4,1,8.5,95.0,17,Female,Medium,67.6
317,7.7,57.3,88.3,3,0,6.6,69.6,18,Male,Medium,63.5
318,5.2,76.7,45.0,2,2,11.5,63.5,17,Male,Low,40.9
319,6.8,77.1,87.0,5,3,8.9,60.5,16,Male,High,79.8
320,5.7,88.1,100.0,4,2,5.6,70.5,16,Male,High,84.8
321,6.2,83.3,73.8,4,3,8.1,83.6,16,Female,High,70.2
322,7.5,62.0,79.0,3,2,7.1,100.0,15,Male,Low,58.9
323,4.0,96.3,85.6,3,2,5.8,99.9,16,Male,Medium,69.2
324,11.2,83.2,65.9,3,1,5.4,50.9,17,Male,High,74.3
325,3.5,83.0,72.7,3,2,8.5,65.8,19,Male,Medium,59.3
326,3.0,79.9,50.3,5,2,6.1,100.0,17,Female,Medium,63.0
327,8.9,72.2,72.1,1,3,6.8,66.8,17,Female,Medium,55.8
328,8.0,83.3,77.5,5,1,5.6,79.0,16,Male,High,66.6
329,7.6,87.1,77.7,5,0,5.9,49.3,16,Female,High,73.6
330,7.6,53.8,86.0,5,3,6.8,100.0,17,Male,Medium,76.3
331,6.0,71.9,58.4,3,2,7.6,45.6,18,Male,Low,63.1
332,3.8,76.2,62.0,5,2,4.0,50.4,16,Male,Medium,67.6
333,6.2,83.8,98.4,3,1,7.0,98.9,17,Male,High,85.7
334,4.3,97.9,67.7,1,2,5.9,100.0,18,Female,Low,59.2
335,8.4,68.4,73.0,3,3,9.1,74.8,15,Male,Medium,64.1
336,5.6,72.5,69.0,5,4,11.4,79.2,16,Male,High,78.6
337,3.9,72.3,57.7,1,3,6.5,96.3,18,Female,Low,59.7
338,5.2,68.0,94.4,3,0,4.4,85.2,17,Male,Low,73.4
339,7.0,74.8,62.1,2,3,7.2,73.3,15,Male,Medium,64.9
340,4.6,91.6,53.1,3,1,6.7,71.3,16,Female,Low,62.4
341,3.9,64.2,63.2,2,2,10.0,51.8,17,Female,Low,56.1
342,6.6,86.4,40.0,5,1,9.5,84.2,16,Female,Low,54.1
343,6.6,54.5,60.2,4,3,8.3,78.3,18,Female,Low,63.0
344,4.7,71.6,55.5,5,3,6.1,72.1,15,Male,Medium,64.3
345,4.8,75.1,79.3,4,3,8.0,62.0,16,Male,Medium,75.1
346,6.6,100.0,59.9,5,3,7.4,63.8,16,Male,High,69.2
347,2.4,75.9,83.3,3,1,7.4,91.1,19,Male,Low,67.1
348,2.5,47.0,91.0,4,2,4.7,95.9,18,Female,Low,72.1
349,4.2,50.0,81.7,4,3,8.6,74.1,18,Female,Low,67.1
350,5.5,80.5,66.8,3,3,7.2,72.2,17,Male,Medium,62.8
351,6.8,89.2,72.1,4,3,6.8,64.6,18,Female,High,75.6
352,9.7,85.6,47.1,4,1,6.1,96.9,18,Female,Medium,54.7
353,8.1,82.5,68.0,4,3,5.8,80.6,16,Male,High,65.3
354,5.6,97.4,57.1,4,2,7.5,86.6,19,Male,High,66.0
355,6.0,71.9,80.4,2,3,4.4,86.5,18,Female,Medium,54.3
356,3.5,93.4,100.0,4,2,8.2,74.5,19,Female,High,86.2
357,6.0,55.5,77.5,2,4,5.4,59.0,18,Female,Low,63.3
358,5.3,66.4,40.1,4,1,4.0,62.1,18,Male,Low,56.1
359,6.8,52.9,64.6,4,3,9.7,100.0,19,Male,Medium,73.5
360,3.9,75.9,71.8,5,2,5.7,66.9,17,Female,Low,62.8
361,7.3,79.3,71.3,1,1,5.9,72.6,18,Female,Low,67.9
362,9.8,81.7,59.0,2,0,8.7,59.6,16,Male,Medium,55.5
363,5.7,80.9,73.7,2,3,9.8,58.1,18,Female,High,72.5
364,7.0,66.1,51.4,3,1,4.7,66.2,18,Female,Low,49.8
365,7.7,77.1,55.8,4,1,5.6,100.0,18,Female,Medium,63.2
